"","cases_with_vaccination","cases_without_vaccination","without_vaccination_qol_loss","with_vaccination_qol_loss","deaths_without_vaccination","survivors_without_vaccination","deaths_with_vaccination","survivors_with_vaccination","life_years_lost_death_with_vaccination","life_years_lost_death_without_vaccination","number_vaccinated","severity_counts_without_vaccination_low","severity_counts_without_vaccination_medium","severity_counts_without_vaccination_high","severity_counts_with_vaccination_low","severity_counts_with_vaccination_medium","severity_counts_with_vaccination_high","doses_number","total_QALY_loss_no_vaccination","cases_averted","cases_averted_per_dose","deaths_averted","deaths_averted_per_dose","qol_gained","qol_gained_per_dose","total_QALY_gained","total_QALY_gained_per_dose"
"42",62391,146260,1750.15153695989,174.124507753074,6748,139512,2241,60150,11152.5,33988,102382,68988,74366,2906,59018,2691,682,204764,35738.1515369599,83869,0.409588599558516,4507,0.0220107050067395,1576.02702920681,0.00769679743122234,24411.5270292068,0.119217865587734
"43",62321,146260,1744.13961443764,177.135970273164,6651,139609,2318,60003,11561,33037.5,102382,69135,74187,2938,58791,2858,672,204764,34781.6396144376,83939,0.409930456525561,4333,0.0211609462600848,1567.00364416447,0.00765273018775015,23043.5036441645,0.112536889512632
"44",62260,146260,1740.66945819515,178.117292518756,6589,139671,2294,59966,11729,32836.5,102382,69176,74211,2873,58759,2774,727,204764,34577.1694581952,84000,0.410228360453986,4295,0.0209753667636889,1562.55216567639,0.00763099063153872,22670.0521656764,0.110713075372997
"45",62271,146260,1735.00203207789,175.643305575551,6547,139713,2139,60132,10577.5,32674.5,102382,69437,74056,2767,58860,2728,683,204764,34409.5020320779,83989,0.41017464007345,4408,0.0215272215819187,1559.35872650234,0.00761539492538892,23656.3587265023,0.115529872079576
"46",62352,146260,1745.84491353876,176.24818410057,6626,139634,2313,60039,11627.5,32927,102382,68972,74468,2820,58856,2820,676,204764,34672.8449135388,83908,0.40977906272587,4313,0.0210632728409291,1569.59672943819,0.00766539396299245,22869.0967294382,0.111685143528346
"47",62311,146260,1744.2023759945,175.921601781027,6664,139596,2273,60038,11461.5,33534,102382,68882,74515,2863,58855,2757,699,204764,35278.2023759945,83949,0.409979293235139,4391,0.0214441991756363,1568.28077421347,0.00765896727067978,23640.7807742135,0.115453794486401
"48",62110,146260,1747.51895631247,178.123393672214,6570,139690,2281,59829,11437.5,32708,102382,69270,74071,2919,58572,2801,737,204764,34455.5189563125,84150,0.410960911097654,4289,0.0209460647379422,1569.39556264025,0.00766441153054371,22839.8955626403,0.111542534638121
"49",62253,146260,1745.46554472371,177.777765378312,6548,139712,2297,59956,11491.5,33132,102382,68965,74408,2887,58829,2706,718,204764,34877.4655447237,84007,0.410262546150691,4251,0.0207604852415464,1567.6877793454,0.00765607127886447,23208.1877793454,0.113341152640823
"50",62173,146260,1748.78677434559,172.872622990725,6626,139634,2319,59854,11725.5,33085,102382,68884,74453,2923,58849,2653,671,204764,34833.7867743456,84087,0.410653239827313,4307,0.0210339708151824,1575.91415135487,0.00769624617293504,22935.4141513549,0.112009015995755
"51",62064,146260,1736.38889088812,179.419722229425,6452,139808,2336,59728,11695,32607,102382,69391,74026,2843,58520,2771,773,204764,34343.3888908881,84196,0.411185559961712,4116,0.0201011896622453,1556.9691686587,0.00760372511114599,22468.9691686587,0.109731052180357
