"","cases_with_vaccination","cases_without_vaccination","without_vaccination_qol_loss","with_vaccination_qol_loss","deaths_without_vaccination","survivors_without_vaccination","deaths_with_vaccination","survivors_with_vaccination","life_years_lost_death_with_vaccination","life_years_lost_death_without_vaccination","number_vaccinated","severity_counts_without_vaccination_low","severity_counts_without_vaccination_medium","severity_counts_without_vaccination_high","severity_counts_with_vaccination_low","severity_counts_with_vaccination_medium","severity_counts_with_vaccination_high","doses_number","total_QALY_loss_no_vaccination","cases_averted","cases_averted_per_dose","deaths_averted","deaths_averted_per_dose","qol_gained","qol_gained_per_dose","total_QALY_gained","total_QALY_gained_per_dose"
"11",70665,146260,1742.22478253406,254.594300302333,6645,139615,2438,68227,12439,33241.5,102382,69118,74351,2791,64139,5534,992,102382,34983.7247825341,75595,0.738362212107597,4207,0.0410912074388076,1487.63048223173,0.0145301955639832,22290.1304822317,0.217715325762651
"12",70469,146260,1738.29855225748,256.144986255229,6528,139732,2586,67883,13042,33061,102382,69306,74035,2919,63826,5630,1013,102382,34799.2985522575,75791,0.740276611123049,3942,0.0385028618311813,1482.15356600225,0.0144767006505269,21501.1535660022,0.210009118458345
"13",70490,146260,1737.52786809259,254.678138426178,6539,139721,2473,68017,12375.5,32235.5,102382,69257,74114,2889,63953,5573,964,102382,33973.0278680926,75770,0.740071496942822,4066,0.0397140122287121,1482.84972966641,0.014483500319064,21342.8497296664,0.208462910762306
"14",70349,146260,1741.17436455392,252.937330134732,6497,139763,2430,67919,12433,32560.5,102382,69213,74214,2833,63825,5578,946,102382,34301.6743645539,75911,0.741448692152918,4067,0.0397237795706277,1488.23703441919,0.0145361199665878,21615.7370344192,0.211128294372245
"15",70235,146260,1746.41703456534,255.30895584522,6681,139579,2474,67761,12232,33501.5,102382,69122,74218,2920,63752,5453,1030,102382,35247.9170345653,76025,0.742562169131293,4207,0.0410912074388076,1491.10807872012,0.0145641624379297,22760.6080787201,0.222310641311169
"16",70689,146260,1748.21452485107,254.11278898974,6534,139726,2513,68176,12711.5,32716,102382,68977,74388,2895,64189,5528,972,102382,34464.2145248511,75571,0.738127795901623,4021,0.0392744818425114,1494.10173586133,0.0145934025108059,21498.6017358613,0.209984193860848
"17",70553,146260,1742.65144020693,253.377681722488,6445,139815,2435,68118,12334.5,32300.5,102382,69205,74190,2865,64069,5502,982,102382,34043.1514402069,75707,0.739456154402141,4010,0.0391670410814401,1489.27375848444,0.0145462460050052,21455.2737584844,0.209560994691298
"18",70129,146260,1742.47465726034,255.989552472989,6554,139706,2500,67629,12619,33033,102382,69180,74234,2846,63571,5560,998,102382,34775.4746572603,76131,0.743597507374343,4054,0.0395968041257252,1486.48510478735,0.0145190082708615,21900.4851047873,0.21390952613533
"19",70394,146260,1746.38820353766,254.412631090056,6632,139628,2429,67965,12100.5,33237,102382,69127,74114,3019,63822,5594,978,102382,34983.3882035377,75866,0.741009161766717,4203,0.0410521380711453,1491.97557244761,0.0145726355457757,22628.4755724476,0.221020057944244
"20",70911,146260,1742.34719782988,260.262565971968,6635,139625,2424,68487,12042,33308.5,102382,69082,74313,2865,64231,5632,1048,102382,35050.8471978299,75349,0.735959445996367,4211,0.0411302768064699,1482.08463185792,0.0144760273471696,22748.5846318579,0.222193204194662
"21",70313,146260,1746.46173127084,255.225631962432,6513,139747,2541,67772,12853.5,32486.5,102382,69102,74213,2945,63710,5630,973,102382,34232.9617312708,75947,0.741800316461878,3972,0.0387958820886484,1491.23609930841,0.0145654128587877,21124.2360993084,0.206327636687195
"22",70768,146260,1742.74353696609,257.510998042687,6508,139752,2515,68253,12480.5,32528,102382,69048,74384,2828,64149,5569,1050,102382,34270.7435369661,75492,0.737356175890293,3993,0.0390009962688754,1485.23253892341,0.0145067740317967,21532.7325389234,0.210317561084208
"23",70430,146260,1747.53564956752,260.411329652723,6659,139601,2445,67985,12158.5,33191.5,102382,68903,74419,2938,63797,5566,1067,102382,34939.0356495675,75830,0.740657537457756,4214,0.0411595788322166,1487.12431991479,0.0145252517035689,22520.1243199148,0.219961754213776
"24",70585,146260,1750.76819192913,255.800913460661,6650,139610,2476,68109,12392,33264,102382,68827,74521,2912,64012,5510,1063,102382,35014.7681919291,75675,0.739143599460843,4174,0.0407688851555938,1494.96727846847,0.0146018565613924,22366.9672784685,0.218465817023192
"25",70352,146260,1743.40415762308,254.673105222572,6500,139760,2480,67872,12663,32555,102382,69128,74230,2902,63842,5472,1038,102382,34298.4041576231,75908,0.741419390127171,4020,0.0392647145005958,1488.73105240051,0.0145409452091238,21380.7310524005,0.208832910593664
"26",70308,146260,1747.61969582846,254.727261710946,6556,139704,2508,67800,12312,32375,102382,68869,74533,2858,63714,5597,997,102382,34122.6196958285,75952,0.741849153171456,4048,0.0395382000742318,1492.89243411751,0.0145815908471949,21555.8924341175,0.210543771699298
"27",70425,146260,1747.03151019502,257.602490915334,6485,139775,2568,67857,12939,32417.5,102382,69049,74378,2833,63825,5554,1046,102382,34164.531510195,75835,0.740706374167334,3917,0.038258678283292,1489.42901927968,0.0145477624902784,20967.9290192797,0.20480093199273
"28",70454,146260,1737.72723882092,255.421106656301,6547,139713,2512,67942,12578,32774.5,102382,69046,74389,2825,63931,5516,1007,102382,34512.2272388209,75806,0.740423121251783,4035,0.0394112246293294,1482.30613216462,0.0144781908163995,21678.8061321646,0.211744311814231
